MergeSort,6,5,204,0,172
QuickSort,5,4,177,6,149
BubbleSort,7,6,233,12,193
SelectionSort,9,8,274,18,222
InsertionSort,9,8,279,24,227
HeapSort,4,3,160,30,138
BogoSort,14,13,344,36,232
